Feature,Reason,Details
Bwd PSH Flags,Low variance < 0.01,Variance=0.0
Fwd URG Flags,Low variance < 0.01,Variance=3.202223620841768e-05
Bwd URG Flags,Low variance < 0.01,Variance=0.0
RST Flag Count,Low variance < 0.01,Variance=0.00027452406421610005
CWE Flag Count,Low variance < 0.01,Variance=3.202223620841768e-05
ECE Flag Count,Low variance < 0.01,Variance=0.0002757242755701194
Fwd Avg Bytes/Bulk,Low variance < 0.01,Variance=0.0
Fwd Avg Packets/Bulk,Low variance < 0.01,Variance=0.0
Fwd Avg Bulk Rate,Low variance < 0.01,Variance=0.0
Bwd Avg Bytes/Bulk,Low variance < 0.01,Variance=0.0
Bwd Avg Packets/Bulk,Low variance < 0.01,Variance=0.0
Bwd Avg Bulk Rate,Low variance < 0.01,Variance=0.0
Total Backward Packets,High correlation > 0.95,"Highly correlated with 'Total Fwd Packets', corr=0.9991"
Total Length of Bwd Packets,High correlation > 0.95,"Highly correlated with 'Total Fwd Packets', corr=0.9970"
Fwd Packet Length Std,High correlation > 0.95,"Highly correlated with 'Fwd Packet Length Max', corr=0.9685"
Bwd Packet Length Mean,High correlation > 0.95,"Highly correlated with 'Bwd Packet Length Max', corr=0.9581"
Bwd Packet Length Std,High correlation > 0.95,"Highly correlated with 'Bwd Packet Length Max', corr=0.9825"
Fwd IAT Total,High correlation > 0.95,"Highly correlated with 'Flow Duration', corr=0.9985"
Fwd IAT Max,High correlation > 0.95,"Highly correlated with 'Flow IAT Max', corr=0.9981"
Fwd Packets/s,High correlation > 0.95,"Highly correlated with 'Flow Packets/s', corr=0.9805"
Packet Length Std,High correlation > 0.95,"Highly correlated with 'Max Packet Length', corr=0.9840"
SYN Flag Count,High correlation > 0.95,"Highly correlated with 'Fwd PSH Flags', corr=1.0000"
Average Packet Size,High correlation > 0.95,"Highly correlated with 'Packet Length Mean', corr=0.9978"
Avg Fwd Segment Size,High correlation > 0.95,"Highly correlated with 'Fwd Packet Length Mean', corr=1.0000"
Avg Bwd Segment Size,High correlation > 0.95,"Highly correlated with 'Bwd Packet Length Mean', corr=1.0000"
Fwd Header Length.1,High correlation > 0.95,"Highly correlated with 'Fwd Header Length', corr=1.0000"
Subflow Fwd Packets,High correlation > 0.95,"Highly correlated with 'Total Fwd Packets', corr=1.0000"
Subflow Fwd Bytes,High correlation > 0.95,"Highly correlated with 'Total Length of Fwd Packets', corr=1.0000"
Subflow Bwd Packets,High correlation > 0.95,"Highly correlated with 'Total Backward Packets', corr=1.0000"
Subflow Bwd Bytes,High correlation > 0.95,"Highly correlated with 'Total Length of Bwd Packets', corr=1.0000"
Idle Mean,High correlation > 0.95,"Highly correlated with 'Flow IAT Max', corr=0.9798"
Idle Max,High correlation > 0.95,"Highly correlated with 'Idle Mean', corr=0.9902"
Idle Min,High correlation > 0.95,"Highly correlated with 'Idle Mean', corr=0.9901"
