True Label,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Total_True_Labels
BENIGN,1015,19580,0,1104,0,2704,278,0,28,6,0,38,53,45,36,35,24922
Bot,1,17,0,0,0,13,0,0,0,0,0,0,0,0,0,0,31
DDoS,24,1250,133,0,99,0,0,0,0,0,0,0,0,0,0,0,1506
DoS GoldenEye,34,80,0,0,0,3,0,0,0,0,0,0,0,0,0,0,117
DoS Hulk,21,282,16,0,1043,4,76,543,0,0,74,0,0,0,0,0,2059
DoS Slowhttptest,23,3,0,0,0,7,0,0,0,27,0,0,0,0,0,0,60
DoS slowloris,52,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,76
FTP-Patator,0,40,0,23,0,0,0,0,0,0,0,0,0,0,0,0,63
Infiltration,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PortScan,18,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111
SSH-Patator,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34
Web Attack � Brute Force,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Web Attack � Sql Injection,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Web Attack � XSS,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
